Number	ShortDescription
1	hi since recruiter lead permission approve requisitions makes please make thanks recruiter
2	verification warning hi has got attached please addresses best regards monitoring analyst verification warning
3	dear modules report report cost thank much regards
4	secondary hi please provide secondary ledger users please provide existing roles assigned these users prod test please create thank kind regards analyst
5	change owner contract hello please log thanks best regards senior engineer pm contract id pm pm la ca la si si please pm pm merci pm owner pm yep pm
6	re lost card hello va ii alt card se la
7	change role hello dear please change pm role starting kind regards discipline lead
8	hello received workstation granted ad please help thanks
9	area hello please card area floor thank kind regards agile
10	badge lost hello lost badge need one thank you
11	sent stolen phone hi please raise block card for romanian mobile phone number asap kind regards
12	sent friday need re start importance high hi seams virtual machine was crashed restarted please restart machine blocking for our kind regards senior architect
13	sent friday december restart hello can you please log assign our queue for restart thank you best regards senior engineer en
14	sent wednesday unable remove reservation hi please remove below reservation getting error please log into their queue thanks
15	phone gives error parse error when trying directory search or directory search working for client belgrade best regards
16	sent monday issues hi keep getting errors while these errors preventing sending possibly receiving please help best regards digital
17	mailbox almost hi mailbox almost kind thanks regards senior infrastructure engineer infrastructure upcoming holiday none id
18	opportunity known pipeline hi please import bellow opportunity known pipeline opportunity id thanks officer
19	hi connect failure colleague successfully connected guess user needs more rights configuration please thanks great application engineer
20	upload rights location pm hello please location pm area disciplines libraries pm disc cross sessions view ca ribbon thank
21	reallocate phones hello please kind log each assets attached reallocated these tickets assigned colleagues take care physically removing assets area thank best regards leader
22	share mb file storage dear myself taking part agile joint presentation done together efforts together order single presentation occurs slides video heavy order avoid let somewhere storage tomorrow till thanks lot help kind regards
23	device path printer details output copier details output scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified
24	phone hi phone charging tried everything booted safe mode did soft changed cables nothing has worked had enough perform factory arrange handset please deliver dept floor canada square require old handset back regards
25	common mailbox setup mobile hello best again crying out help has phone where receive common mailbox please help has entered other configuration details copied phone thanks lot analyst
26	device floor printer feeding part printer details input tray copier details input tray fax details input tray scanner ready details model name device name floor comment host name name stateless stateless stateless stateless stateless print name file name name computer name share name device floor printer floor printer notified
27	install dear please log assign helping her install her scanner thanks kind regards engineer
28	patch cords connect by wire hi please informed got patch cords connect wire take denmark connect wired danish best regards director
29	purchase po dear purchased pro retina intel plus graphics kb please log allocation please log retrieve old device kind regards administrator
30	folder restriction dear please kind restrict folder backup users excepting these write
31	accounts good morning please note changes deactivate user accounts create accounts users tester
32	re ad users testing application testing automatic testing hello accounts removed thank
33	rights machine hello due change rights machine coming permissions revoked thank
34	secured hi please grand rights secured thanks
35	hi please software installed computer amp others thanks software developer
36	re software dear basically package license assigned assume buy parallels license handle installation joining kind regards engineer december software hi received software installed parallels virus copied out installation appropriate thanks
37	software hi installed defender bit defender turned off thought saw which says introducing version having these turned off part upgrade turn again thanks director
38	image hello run tests virtual machine possible image run locally thank
39	friday pm forbidden software hi checked report forbidden software please find report looks colleagues filter having games based file sharing file store clients installed assets please reminder ask these forbidden please keep mind has thanks
40	engineers cannot connect hello please ensure engineers connect currently permissions details attached marked regards owner
41	add tunnel hello tunnel tunnel work wireless cannot resources same way fixed occasions cannot cable connect resources thank lead
42	sent thursday urgent unable using infra domain domain controllers hi unable using infra domain domain controllers can connect fine make connection one infra domain controllers but get error after using credentials attached regards senior server infrastructure engineer managed mobile
43	sent november unable connect via hi unable connect via credentials were introduced correctly software developer en
44	can connect server through remote remote desktop connection
45	storage folder hi folder storage legacy code source regards
46	called she cannot log her
47	sent thursday unable connect via cable hello unable connect via cable very important because you can access our client only cable unable work best regards senior engineer
48	poll status status down poll output could data via
49	poll remaining status down poll output could data via
50	moved th floor unable access laptop device registered with required access rights
